地址,经度,纬度,业务分类,客户名称,所在城市,所属团队,汇总时间,项目名称,项目周期,商务负责人,合同额（万元）,款项名称,开票额（万元）,到帐额（万元）,地产品牌,已开票未到账额,未执行完合同额,类型
杭州市富春路188号市民中心E座24-25层,,,旅游,杭州市旅游委员会 杭移动三方协议,杭州,旅游事业部,2017-09-21 00:00:00,杭州市旅游委员会杭州城市游客综合动态监测系统数据挖掘项目,零期,李庆华,67.5,,,,,6.75,6.75,脉策经营收入
杭州市富春路188号市民中心E座24-25层,,,旅游,杭州市旅游委员会 杭移动三方协议,杭州,旅游事业部,2017-12-08 00:00:00,杭州市旅游委员会杭州城市游客综合动态监测系统数据挖掘项目,一期,李庆华,,一期款,67.5,,,,,脉策经营收入
杭州市富春路188号市民中心E座24-25层,,,旅游,杭州市旅游委员会 杭移动三方协议,杭州,旅游事业部,2017-12-18 00:00:00,杭州市旅游委员会杭州城市游客综合动态监测系统数据挖掘项目,一期,李庆华,,一期款,,60.75,,,,脉策经营收入
北京市东直门外大街39号京投快轨大厦608,,,零售和其他,北京腾云天下科技有限公司,北京,后台,2017-09-18 00:00:00,服务费用,零期,汤舸,18,,,,,,,脉策经营收入
北京市东直门外大街39号京投快轨大厦608,,,零售和其他,北京腾云天下科技有限公司,北京,后台,2017-09-20 00:00:00,服务费用,一期,汤舸,,一期款,18,,,,,脉策经营收入
北京市东直门外大街39号京投快轨大厦608,,,零售和其他,北京腾云天下科技有限公司,北京,后台,2017-09-28 00:00:00,服务费用,一期,汤舸,,一期款,,18,,,,脉策经营收入
杭州市富春路188号市民中心E座24-25层,,,旅游,杭州市旅游委员会,杭州,旅游事业部,2017-09-20 00:00:00,小程序开发,零期,李庆华,7.568,,,,,,,脉策经营收入
杭州市富春路188号市民中心E座24-25层,,,旅游,杭州市旅游委员会,杭州,旅游事业部,2017-09-26 00:00:00,小程序开发,一期,李庆华,,一期款,7.568,,,,,脉策经营收入
杭州市富春路188号市民中心E座24-25层,,,旅游,杭州市旅游委员会,杭州,旅游事业部,2017-09-29 00:00:00,小程序开发,一期,李庆华,,一期款,,7.568,,,,脉策经营收入
上海市江浦路549号,,,城市,杨浦区发展和改革委员会,上海,城市事业部,2017-11-01 00:00:00,数据咨询服务合同,零期,刘谷一,18,,,,,,7.2,脉策经营收入
